Protein_1	Protein_2
Rv0027	cfp29
Rv0027	Rv0801
Rv0027	purF
Rv0027	purM
Rv0027	Rv0813c
Rv0027	Rv0818
Rv0027	lpqS
Rv0027	Rv0849
Rv0027	moaD2
Rv0027	moaA2
Rv0027	Rv0879c
Rv0027	Rv0880
Rv0027	Rv0885
Rv0027	Rv0887c
Rv0027	citA
Rv0027	Rv0895
Rv0027	gltA2
Rv0027	accD3
Rv0027	Rv0910
Rv0027	pstC2
Rv0027	pstA1
Rv0027	mku
Rv0027	Rv0940c
Rv0027	Rv0954
Rv0027	rimJ
Rv0028	Rv0038
Rv0028	Rv0076c
Rv0028	Rv0102
Rv0028	msrA
Rv0028	lprK
Rv0028	Rv0188
Rv0028	lipW
Rv0028	lipC
Rv0028	narU
Rv0028	Rv0311
Rv0028	Rv0330c
Rv0028	Rv0356c
Rv0028	Rv0366c
Rv0028	Rv0424c
Rv0028	lpdC
Rv0028	Rv0466
Rv0028	Rv0495c
Rv0028	Rv0517
Rv0028	Rv0546c
Rv0028	menD
Rv0028	Rv0565c
Rv0028	lprL
Rv0028	Rv0633c
Rv0028	Rv0762c
Rv0028	Rv0763c
Rv0028	Rv0765c
Rv0028	Rv0769
Rv0028	Rv0771
Rv0028	Rv0776c
Rv0028	purB
Rv0028	cyp126
Rv0028	Rv0779c
Rv0028	purC
Rv0028	emrB
Rv0028	Rv0785
Rv0028	Rv0786c
Rv0028	cfp29
Rv0028	Rv0801
Rv0028	purF
Rv0028	purM
Rv0028	Rv0813c
Rv0028	Rv0818
Rv0028	lpqS
Rv0028	Rv0849
Rv0028	moaD2
Rv0028	moaA2
Rv0028	Rv0879c
Rv0028	Rv0880
Rv0028	Rv0885
Rv0028	Rv0887c
Rv0028	citA
Rv0028	Rv0895
Rv0028	gltA2
Rv0028	accD3
Rv0028	Rv0910
Rv0028	pstC2
Rv0028	pstA1
Rv0028	mku
Rv0028	Rv0940c
Rv0028	Rv0954
Rv0028	rimJ
Rv0030	Rv0042c
Rv0030	Rv0044c
Rv0030	Rv0047c
Rv0030	rpsF
Rv0030	rplI
Rv0030	Rv0081
Rv0030	ctpA
Rv0030	ctpB
Rv0030	ldtA
Rv0030	Rv0128
Rv0030	pntAa
