Protein_1	Protein_2
Rv0247c	eccA3
Rv0247c	eccC3
Rv0247c	esxG
Rv0247c	eccD3
Rv0247c	Rv0293c
Rv0247c	tam
Rv0247c	Rv0308
Rv0247c	Rv0310c
Rv0247c	Rv0314c
Rv0247c	cyp135A1
Rv0247c	Rv0333
Rv0247c	Rv0340
Rv0247c	Rv0369c
Rv0247c	Rv0371c
Rv0247c	Rv0373c
Rv0247c	Rv0377
Rv0247c	Rv0380c
Rv0247c	Rv0385
Rv0247c	Rv0398c
Rv0247c	pta
Rv0247c	ackA
Rv0247c	mutT3
Rv0247c	Rv0420c
Rv0247c	Rv0421c
Rv0247c	thiC
Rv0247c	Rv0434
Rv0247c	Rv0435c
Rv0247c	rskA
Rv0247c	sigK
Rv0247c	Rv0448c
Rv0247c	echA2
Rv0247c	Rv0458
Rv0247c	Rv0459
Rv0247c	Rv0460
Rv0247c	Rv0461
Rv0247c	Rv0463
Rv0247c	Rv0472c
Rv0247c	hbhA
Rv0247c	Rv0477
Rv0247c	Rv0479c
Rv0247c	Rv0480c
Rv0247c	Rv0484c
Rv0247c	senX3
Rv0247c	Rv0497
Rv0247c	hemC
Rv0247c	Rv0516c
Rv0247c	Rv0525
Rv0247c	Rv0535
Rv0247c	Rv0541c
Rv0247c	fadD8
Rv0247c	mgtA
Rv0247c	grcC1
Rv0247c	htpX
Rv0247c	Rv0566c
Rv0247c	cyp135B1
Rv0247c	Rv0575c
Rv0247c	Rv0576
Rv0247c	Rv0580c
Rv0247c	lpqN
Rv0247c	mce2C
Rv0247c	mce2D
Rv0247c	Rv0600c
Rv0247c	galK
Rv0247c	echA3
Rv0247c	nusG
Rv0247c	Rv0658c
Rv0247c	rpoB
Rv0247c	Rv0669c
Rv0247c	lpqP
Rv0247c	echA4
Rv0247c	Rv0686
Rv0247c	Rv0695
Rv0247c	Rv0697
Rv0247c	atsA
Rv0247c	Rv0712
Rv0247c	Rv0713
Rv0247c	Rv0725c
Rv0247c	Rv0726c
Rv0247c	fucA
Rv0247c	Rv0731c
Rv0247c	Rv0738
Rv0247c	mmsB
Rv0247c	Rv0756c
Rv0247c	Rv0791c
Rv0247c	Rv0825c
Rv0247c	kmtR
Rv0247c	Rv0830
Rv0247c	moaE2
Rv0247c	Rv0877
Rv0247c	Rv0893c
Rv0247c	Rv0909
Rv0247c	Rv0958
Rv0247c	Rv0965c
Rv0247c	accA2
Rv0247c	grcC2
Rv0248c	nirD
Rv0248c	aac
Rv0248c	Rv0263c
Rv0248c	fadD2
Rv0248c	fadE6
Rv0248c	Rv0273c
Rv0248c	Rv0276
Rv0248c	Rv0281
Rv0248c	eccA3
Rv0248c	eccC3
Rv0248c	esxG
Rv0248c	eccD3
Rv0248c	Rv0293c
Rv0248c	tam
Rv0248c	Rv0308
Rv0248c	Rv0310c
Rv0248c	Rv0314c
Rv0248c	cyp135A1
Rv0248c	Rv0333
Rv0248c	Rv0340
Rv0248c	Rv0369c
Rv0248c	Rv0371c
Rv0248c	Rv0373c
Rv0248c	Rv0377
Rv0248c	Rv0380c
Rv0248c	Rv0385
Rv0248c	Rv0398c
Rv0248c	pta
Rv0248c	ackA
Rv0248c	mutT3
Rv0248c	Rv0420c
Rv0248c	Rv0421c
Rv0248c	thiC
Rv0248c	Rv0434
Rv0248c	Rv0435c
Rv0248c	rskA
Rv0248c	sigK
Rv0248c	Rv0448c
Rv0248c	echA2
Rv0248c	Rv0458
Rv0248c	Rv0459
Rv0248c	Rv0460
Rv0248c	Rv0461
Rv0248c	Rv0463
Rv0248c	Rv0472c
Rv0248c	hbhA
Rv0248c	Rv0477
Rv0248c	Rv0479c
Rv0248c	Rv0480c
Rv0248c	Rv0484c
Rv0248c	senX3
Rv0248c	Rv0497
Rv0248c	hemC
Rv0248c	Rv0516c
Rv0248c	Rv0525
Rv0248c	Rv0535
Rv0248c	Rv0541c
Rv0248c	fadD8
Rv0248c	mgtA
Rv0248c	grcC1
Rv0248c	htpX
Rv0248c	Rv0566c
Rv0248c	cyp135B1
Rv0248c	Rv0575c
Rv0248c	Rv0576
Rv0248c	Rv0580c
Rv0248c	lpqN
Rv0248c	mce2C
Rv0248c	mce2D
Rv0248c	Rv0600c
Rv0248c	galK
Rv0248c	echA3
Rv0248c	nusG
Rv0248c	Rv0658c
Rv0248c	rpoB
Rv0248c	Rv0669c
Rv0248c	lpqP
Rv0248c	echA4
Rv0248c	Rv0686
Rv0248c	Rv0695
Rv0248c	Rv0697
Rv0248c	atsA
Rv0248c	Rv0712
Rv0248c	Rv0713
Rv0248c	Rv0725c
Rv0248c	Rv0726c
Rv0248c	fucA
Rv0248c	Rv0731c
Rv0248c	Rv0738
Rv0248c	mmsB
Rv0248c	Rv0756c
Rv0248c	Rv0791c
Rv0248c	Rv0825c
Rv0248c	kmtR
Rv0248c	Rv0830
Rv0248c	moaE2
Rv0248c	Rv0877
Rv0248c	Rv0893c
Rv0248c	Rv0909
Rv0248c	Rv0958
Rv0248c	Rv0965c
Rv0248c	accA2
Rv0248c	grcC2
Rv0249c	Rv0260c
Rv0249c	eccE3
Rv0249c	aspC
Rv0249c	lpqJ
Rv0249c	Rv0428c
Rv0249c	Rv0443
Rv0249c	Rv0465c
Rv0249c	fadB2
Rv0249c	Rv0494
Rv0249c	Rv0508
Rv0249c	cysG
Rv0249c	Rv0531
Rv0249c	Rv0547c
Rv0249c	menB
Rv0249c	bpoC
Rv0249c	gpdA1
Rv0249c	Rv0679c
Rv0249c	sigL
Rv0249c	Rv0737
Rv0249c	mmsA
Rv0249c	Rv0775
Rv0249c	Rv0926c
Rv0250c	esxH
Rv0250c	dcd
Rv0250c	Rv0328
Rv0250c	hspR
Rv0250c	Rv0370c
Rv0250c	Rv0383c
Rv0250c	ndhA
Rv0250c	mmpS1
Rv0250c	mmpS4
Rv0250c	Rv0481c
Rv0250c	Rv0487
Rv0250c	Rv0496
Rv0250c	mmpS2
Rv0250c	Rv0518
Rv0250c	Rv0526
Rv0250c	Rv0543c
Rv0250c	Rv0559c
Rv0250c	Rv0588
Rv0250c	mce2F
Rv0250c	mkl
Rv0250c	mmpS5
Rv0250c	Rv0680c
Rv0250c	Rv0681
Rv0250c	Rv0691c
Rv0250c	rplC
Rv0250c	rpmC
Rv0250c	rplN
hsp	Rv0307c
hsp	Rv0315
hsp	Rv0390
hsp	Rv0441c
hsp	Rv0687
hsp	Rv0692
hsp	Rv0859
nirD	aac
nirD	Rv0263c
nirD	fadD2
nirD	fadE6
nirD	Rv0273c
nirD	Rv0276
nirD	Rv0281
nirD	eccA3
nirD	eccC3
nirD	esxG
nirD	eccD3
nirD	Rv0293c
nirD	tam
nirD	Rv0308
nirD	Rv0310c
nirD	Rv0314c
nirD	cyp135A1
nirD	Rv0333
nirD	Rv0340
nirD	Rv0369c
nirD	Rv0371c
nirD	Rv0373c
nirD	Rv0377
nirD	Rv0380c
nirD	Rv0385
nirD	Rv0398c
nirD	pta
nirD	ackA
nirD	mutT3
nirD	Rv0420c
nirD	Rv0421c
nirD	thiC
nirD	Rv0434
nirD	Rv0435c
nirD	rskA
nirD	sigK
nirD	Rv0448c
nirD	echA2
nirD	Rv0458
nirD	Rv0459
nirD	Rv0460
nirD	Rv0461
nirD	Rv0463
nirD	Rv0472c
nirD	hbhA
nirD	Rv0477
nirD	Rv0479c
nirD	Rv0480c
nirD	Rv0484c
nirD	senX3
nirD	Rv0497
nirD	hemC
nirD	Rv0516c
nirD	Rv0525
nirD	Rv0535
nirD	Rv0541c
nirD	fadD8
nirD	mgtA
nirD	grcC1
nirD	htpX
nirD	Rv0566c
nirD	cyp135B1
nirD	Rv0575c
nirD	Rv0576
nirD	Rv0580c
nirD	lpqN
nirD	mce2C
nirD	mce2D
nirD	Rv0600c
nirD	galK
nirD	echA3
nirD	nusG
nirD	Rv0658c
nirD	rpoB
nirD	Rv0669c
nirD	lpqP
nirD	echA4
nirD	Rv0686
nirD	Rv0695
nirD	Rv0697
nirD	atsA
nirD	Rv0712
nirD	Rv0713
nirD	Rv0725c
nirD	Rv0726c
nirD	fucA
nirD	Rv0731c
nirD	Rv0738
nirD	mmsB
nirD	Rv0756c
nirD	Rv0791c
nirD	Rv0825c
nirD	kmtR
nirD	Rv0830
nirD	moaE2
nirD	Rv0877
nirD	Rv0893c
nirD	Rv0909
nirD	Rv0958
nirD	Rv0965c
nirD	accA2
nirD	grcC2
Rv0258c	Rv0264c
Rv0258c	Rv0309
Rv0258c	Rv0313
Rv0258c	rmlA
Rv0258c	mmpL1
Rv0258c	glnH
Rv0258c	Rv0412c
Rv0258c	Rv0426c
Rv0258c	Rv0431
Rv0258c	mmpL4
Rv0258c	Rv0455c
Rv0258c	Rv0464c
Rv0258c	Rv0474
Rv0258c	Rv0476
Rv0258c	Rv0498
Rv0258c	mmpL2
Rv0258c	hemA
Rv0258c	Rv0513
Rv0258c	Rv0514
Rv0258c	Rv0530
Rv0258c	galE2
Rv0258c	Rv0556
Rv0258c	yrbE2A
Rv0258c	mmpL5
Rv0258c	rpsQ
Rv0258c	rslA
Rv0258c	Rv0759c
Rv0258c	Rv0767c
Rv0258c	Rv0810c
Rv0258c	Rv0814c
Rv0258c	phoT
Rv0258c	phoY2
Rv0258c	mog
Rv0258c	Rv0870c
Rv0258c	Rv0898c
Rv0258c	echA6
Rv0258c	pstB
Rv0258c	csoR
Rv0258c	ctpV
Rv0258c	moaB2
Rv0260c	eccE3
Rv0260c	aspC
Rv0260c	lpqJ
Rv0260c	Rv0428c
Rv0260c	Rv0443
Rv0260c	Rv0465c
Rv0260c	fadB2
Rv0260c	Rv0494
Rv0260c	Rv0508
Rv0260c	cysG
Rv0260c	Rv0531
Rv0260c	Rv0547c
Rv0260c	menB
Rv0260c	bpoC
Rv0260c	gpdA1
Rv0260c	Rv0679c
Rv0260c	sigL
Rv0260c	Rv0737
Rv0260c	mmsA
Rv0260c	Rv0775
Rv0260c	Rv0926c
narK3	thiS
narK3	rplO
narK3	sucD
narK3	purN
narK3	galU
narK3	Rv1003
aac	Rv0263c
aac	fadD2
aac	fadE6
aac	Rv0273c
aac	Rv0276
aac	Rv0281
aac	eccA3
aac	eccC3
aac	esxG
aac	eccD3
aac	Rv0293c
aac	tam
aac	Rv0308
aac	Rv0310c
aac	Rv0314c
aac	cyp135A1
aac	Rv0333
aac	Rv0340
aac	Rv0369c
aac	Rv0371c
aac	Rv0373c
aac	Rv0377
aac	Rv0380c
aac	Rv0385
aac	Rv0398c
aac	pta
aac	ackA
aac	mutT3
aac	Rv0420c
aac	Rv0421c
aac	thiC
aac	Rv0434
aac	Rv0435c
aac	rskA
aac	sigK
aac	Rv0448c
aac	echA2
aac	Rv0458
aac	Rv0459
aac	Rv0460
aac	Rv0461
aac	Rv0463
aac	Rv0472c
aac	hbhA
aac	Rv0477
aac	Rv0479c
aac	Rv0480c
aac	Rv0484c
aac	senX3
aac	Rv0497
aac	hemC
aac	Rv0516c
aac	Rv0525
aac	Rv0535
aac	Rv0541c
aac	fadD8
aac	mgtA
aac	grcC1
aac	htpX
aac	Rv0566c
aac	cyp135B1
aac	Rv0575c
aac	Rv0576
aac	Rv0580c
aac	lpqN
aac	mce2C
aac	mce2D
aac	Rv0600c
aac	galK
aac	echA3
aac	nusG
aac	Rv0658c
aac	rpoB
aac	Rv0669c
aac	lpqP
aac	echA4
aac	Rv0686
aac	Rv0695
aac	Rv0697
aac	atsA
aac	Rv0712
aac	Rv0713
aac	Rv0725c
aac	Rv0726c
aac	fucA
aac	Rv0731c
aac	Rv0738
aac	mmsB
aac	Rv0756c
aac	Rv0791c
aac	Rv0825c
aac	kmtR
aac	Rv0830
aac	moaE2
aac	Rv0877
aac	Rv0893c
aac	Rv0909
aac	Rv0958
aac	Rv0965c
aac	accA2
aac	grcC2
Rv0263c	fadD2
Rv0263c	fadE6
Rv0263c	Rv0273c
Rv0263c	Rv0276
Rv0263c	Rv0281
Rv0263c	eccA3
Rv0263c	eccC3
Rv0263c	esxG
Rv0263c	eccD3
Rv0263c	Rv0293c
Rv0263c	tam
Rv0263c	Rv0308
Rv0263c	Rv0310c
Rv0263c	Rv0314c
Rv0263c	cyp135A1
Rv0263c	Rv0333
Rv0263c	Rv0340
Rv0263c	Rv0369c
Rv0263c	Rv0371c
Rv0263c	Rv0373c
Rv0263c	Rv0377
Rv0263c	Rv0380c
Rv0263c	Rv0385
Rv0263c	Rv0398c
Rv0263c	pta
Rv0263c	ackA
Rv0263c	mutT3
Rv0263c	Rv0420c
Rv0263c	Rv0421c
Rv0263c	thiC
Rv0263c	Rv0434
Rv0263c	Rv0435c
Rv0263c	rskA
Rv0263c	sigK
Rv0263c	Rv0448c
Rv0263c	echA2
Rv0263c	Rv0458
Rv0263c	Rv0459
Rv0263c	Rv0460
Rv0263c	Rv0461
Rv0263c	Rv0463
Rv0263c	Rv0472c
Rv0263c	hbhA
Rv0263c	Rv0477
Rv0263c	Rv0479c
Rv0263c	Rv0480c
Rv0263c	Rv0484c
Rv0263c	senX3
Rv0263c	Rv0497
Rv0263c	hemC
Rv0263c	Rv0516c
Rv0263c	Rv0525
Rv0263c	Rv0535
Rv0263c	Rv0541c
Rv0263c	fadD8
Rv0263c	mgtA
Rv0263c	grcC1
Rv0263c	htpX
Rv0263c	Rv0566c
Rv0263c	cyp135B1
Rv0263c	Rv0575c
Rv0263c	Rv0576
Rv0263c	Rv0580c
Rv0263c	lpqN
Rv0263c	mce2C
Rv0263c	mce2D
Rv0263c	Rv0600c
Rv0263c	galK
Rv0263c	echA3
Rv0263c	nusG
Rv0263c	Rv0658c
Rv0263c	rpoB
Rv0263c	Rv0669c
Rv0263c	lpqP
Rv0263c	echA4
Rv0263c	Rv0686
Rv0263c	Rv0695
Rv0263c	Rv0697
Rv0263c	atsA
Rv0263c	Rv0712
Rv0263c	Rv0713
Rv0263c	Rv0725c
Rv0263c	Rv0726c
Rv0263c	fucA
Rv0263c	Rv0731c
Rv0263c	Rv0738
Rv0263c	mmsB
Rv0263c	Rv0756c
Rv0263c	Rv0791c
Rv0263c	Rv0825c
Rv0263c	kmtR
Rv0263c	Rv0830
Rv0263c	moaE2
Rv0263c	Rv0877
Rv0263c	Rv0893c
Rv0263c	Rv0909
Rv0263c	Rv0958
Rv0263c	Rv0965c
Rv0263c	accA2
Rv0263c	grcC2
Rv0264c	Rv0309
Rv0264c	Rv0313
Rv0264c	rmlA
Rv0264c	mmpL1
Rv0264c	glnH
Rv0264c	Rv0412c
Rv0264c	Rv0426c
Rv0264c	Rv0431
Rv0264c	mmpL4
Rv0264c	Rv0455c
Rv0264c	Rv0464c
Rv0264c	Rv0474
Rv0264c	Rv0476
Rv0264c	Rv0498
Rv0264c	mmpL2
Rv0264c	hemA
Rv0264c	Rv0513
Rv0264c	Rv0514
Rv0264c	Rv0530
Rv0264c	galE2
Rv0264c	Rv0556
Rv0264c	yrbE2A
Rv0264c	mmpL5
Rv0264c	rpsQ
Rv0264c	rslA
Rv0264c	Rv0759c
Rv0264c	Rv0767c
Rv0264c	Rv0810c
Rv0264c	Rv0814c
Rv0264c	phoT
Rv0264c	phoY2
Rv0264c	mog
Rv0264c	Rv0870c
Rv0264c	Rv0898c
Rv0264c	echA6
Rv0264c	pstB
Rv0264c	csoR
Rv0264c	ctpV
Rv0264c	moaB2
narU	Rv0311
narU	Rv0330c
narU	Rv0356c
narU	Rv0366c
narU	Rv0424c
narU	lpdC
narU	Rv0466
narU	Rv0495c
narU	Rv0517
narU	Rv0546c
narU	menD
narU	Rv0565c
narU	lprL
narU	Rv0633c
narU	Rv0762c
narU	Rv0763c
narU	Rv0765c
narU	Rv0769
narU	Rv0771
narU	Rv0776c
narU	purB
narU	cyp126
narU	Rv0779c
narU	purC
narU	emrB
narU	Rv0785
narU	Rv0786c
narU	cfp29
narU	Rv0801
narU	purF
narU	purM
narU	Rv0813c
narU	Rv0818
narU	lpqS
narU	Rv0849
narU	moaD2
narU	moaA2
narU	Rv0879c
narU	Rv0880
narU	Rv0885
narU	Rv0887c
narU	citA
narU	Rv0895
narU	gltA2
narU	accD3
narU	Rv0910
narU	pstC2
narU	pstA1
narU	mku
narU	Rv0940c
narU	Rv0954
narU	rimJ
fadD2	fadE6
fadD2	Rv0273c
fadD2	Rv0276
fadD2	Rv0281
fadD2	eccA3
fadD2	eccC3
fadD2	esxG
fadD2	eccD3
fadD2	Rv0293c
fadD2	tam
fadD2	Rv0308
fadD2	Rv0310c
fadD2	Rv0314c
fadD2	cyp135A1
fadD2	Rv0333
fadD2	Rv0340
fadD2	Rv0369c
fadD2	Rv0371c
fadD2	Rv0373c
fadD2	Rv0377
fadD2	Rv0380c
fadD2	Rv0385
fadD2	Rv0398c
fadD2	pta
fadD2	ackA
fadD2	mutT3
fadD2	Rv0420c
fadD2	Rv0421c
fadD2	thiC
fadD2	Rv0434
fadD2	Rv0435c
fadD2	rskA
fadD2	sigK
fadD2	Rv0448c
fadD2	echA2
fadD2	Rv0458
fadD2	Rv0459
fadD2	Rv0460
fadD2	Rv0461
fadD2	Rv0463
fadD2	Rv0472c
fadD2	hbhA
fadD2	Rv0477
fadD2	Rv0479c
fadD2	Rv0480c
fadD2	Rv0484c
fadD2	senX3
fadD2	Rv0497
fadD2	hemC
fadD2	Rv0516c
fadD2	Rv0525
fadD2	Rv0535
fadD2	Rv0541c
fadD2	fadD8
fadD2	mgtA
fadD2	grcC1
fadD2	htpX
fadD2	Rv0566c
fadD2	cyp135B1
fadD2	Rv0575c
fadD2	Rv0576
fadD2	Rv0580c
fadD2	lpqN
fadD2	mce2C
fadD2	mce2D
fadD2	Rv0600c
fadD2	galK
fadD2	echA3
fadD2	nusG
fadD2	Rv0658c
fadD2	rpoB
fadD2	Rv0669c
fadD2	lpqP
fadD2	echA4
fadD2	Rv0686
fadD2	Rv0695
fadD2	Rv0697
fadD2	atsA
fadD2	Rv0712
fadD2	Rv0713
fadD2	Rv0725c
fadD2	Rv0726c
fadD2	fucA
fadD2	Rv0731c
fadD2	Rv0738
fadD2	mmsB
fadD2	Rv0756c
fadD2	Rv0791c
fadD2	Rv0825c
fadD2	kmtR
fadD2	Rv0830
fadD2	moaE2
fadD2	Rv0877
fadD2	Rv0893c
fadD2	Rv0909
fadD2	Rv0958
fadD2	Rv0965c
fadD2	accA2
fadD2	grcC2
fadE6	Rv0273c
fadE6	Rv0276
fadE6	Rv0281
fadE6	eccA3
fadE6	eccC3
fadE6	esxG
fadE6	eccD3
fadE6	Rv0293c
fadE6	tam
fadE6	Rv0308
fadE6	Rv0310c
fadE6	Rv0314c
fadE6	cyp135A1
fadE6	Rv0333
fadE6	Rv0340
fadE6	Rv0369c
fadE6	Rv0371c
fadE6	Rv0373c
fadE6	Rv0377
fadE6	Rv0380c
fadE6	Rv0385
fadE6	Rv0398c
fadE6	pta
fadE6	ackA
fadE6	mutT3
fadE6	Rv0420c
fadE6	Rv0421c
fadE6	thiC
fadE6	Rv0434
fadE6	Rv0435c
fadE6	rskA
fadE6	sigK
fadE6	Rv0448c
fadE6	echA2
fadE6	Rv0458
fadE6	Rv0459
fadE6	Rv0460
fadE6	Rv0461
fadE6	Rv0463
fadE6	Rv0472c
fadE6	hbhA
fadE6	Rv0477
fadE6	Rv0479c
fadE6	Rv0480c
fadE6	Rv0484c
fadE6	senX3
fadE6	Rv0497
fadE6	hemC
fadE6	Rv0516c
fadE6	Rv0525
fadE6	Rv0535
fadE6	Rv0541c
fadE6	fadD8
fadE6	mgtA
fadE6	grcC1
fadE6	htpX
fadE6	Rv0566c
fadE6	cyp135B1
fadE6	Rv0575c
fadE6	Rv0576
fadE6	Rv0580c
fadE6	lpqN
fadE6	mce2C
fadE6	mce2D
fadE6	Rv0600c
fadE6	galK
fadE6	echA3
fadE6	nusG
fadE6	Rv0658c
fadE6	rpoB
fadE6	Rv0669c
fadE6	lpqP
fadE6	echA4
fadE6	Rv0686
fadE6	Rv0695
fadE6	Rv0697
fadE6	atsA
fadE6	Rv0712
fadE6	Rv0713
fadE6	Rv0725c
fadE6	Rv0726c
fadE6	fucA
fadE6	Rv0731c
fadE6	Rv0738
fadE6	mmsB
fadE6	Rv0756c
fadE6	Rv0791c
fadE6	Rv0825c
fadE6	kmtR
fadE6	Rv0830
fadE6	moaE2
fadE6	Rv0877
fadE6	Rv0893c
fadE6	Rv0909
fadE6	Rv0958
fadE6	Rv0965c
fadE6	accA2
fadE6	grcC2
Rv0273c	Rv0276
Rv0273c	Rv0281
Rv0273c	eccA3
Rv0273c	eccC3
Rv0273c	esxG
Rv0273c	eccD3
Rv0273c	Rv0293c
Rv0273c	tam
Rv0273c	Rv0308
Rv0273c	Rv0310c
Rv0273c	Rv0314c
Rv0273c	cyp135A1
Rv0273c	Rv0333
Rv0273c	Rv0340
Rv0273c	Rv0369c
Rv0273c	Rv0371c
Rv0273c	Rv0373c
Rv0273c	Rv0377
Rv0273c	Rv0380c
Rv0273c	Rv0385
Rv0273c	Rv0398c
Rv0273c	pta
Rv0273c	ackA
Rv0273c	mutT3
Rv0273c	Rv0420c
Rv0273c	Rv0421c
Rv0273c	thiC
Rv0273c	Rv0434
Rv0273c	Rv0435c
Rv0273c	rskA
Rv0273c	sigK
Rv0273c	Rv0448c
Rv0273c	echA2
Rv0273c	Rv0458
Rv0273c	Rv0459
Rv0273c	Rv0460
Rv0273c	Rv0461
Rv0273c	Rv0463
Rv0273c	Rv0472c
Rv0273c	hbhA
Rv0273c	Rv0477
Rv0273c	Rv0479c
Rv0273c	Rv0480c
Rv0273c	Rv0484c
Rv0273c	senX3
Rv0273c	Rv0497
Rv0273c	hemC
Rv0273c	Rv0516c
Rv0273c	Rv0525
Rv0273c	Rv0535
Rv0273c	Rv0541c
Rv0273c	fadD8
Rv0273c	mgtA
Rv0273c	grcC1
Rv0273c	htpX
Rv0273c	Rv0566c
Rv0273c	cyp135B1
Rv0273c	Rv0575c
Rv0273c	Rv0576
Rv0273c	Rv0580c
Rv0273c	lpqN
Rv0273c	mce2C
Rv0273c	mce2D
Rv0273c	Rv0600c
Rv0273c	galK
Rv0273c	echA3
Rv0273c	nusG
Rv0273c	Rv0658c
Rv0273c	rpoB
Rv0273c	Rv0669c
Rv0273c	lpqP
Rv0273c	echA4
Rv0273c	Rv0686
Rv0273c	Rv0695
Rv0273c	Rv0697
Rv0273c	atsA
Rv0273c	Rv0712
Rv0273c	Rv0713
Rv0273c	Rv0725c
Rv0273c	Rv0726c
Rv0273c	fucA
Rv0273c	Rv0731c
Rv0273c	Rv0738
Rv0273c	mmsB
Rv0273c	Rv0756c
Rv0273c	Rv0791c
Rv0273c	Rv0825c
Rv0273c	kmtR
Rv0273c	Rv0830
Rv0273c	moaE2
Rv0273c	Rv0877
Rv0273c	Rv0893c
Rv0273c	Rv0909
Rv0273c	Rv0958
Rv0273c	Rv0965c
Rv0273c	accA2
Rv0273c	grcC2
Rv0276	Rv0281
Rv0276	eccA3
Rv0276	eccC3
Rv0276	esxG
Rv0276	eccD3
Rv0276	Rv0293c
Rv0276	tam
Rv0276	Rv0308
Rv0276	Rv0310c
Rv0276	Rv0314c
Rv0276	cyp135A1
Rv0276	Rv0333
Rv0276	Rv0340
Rv0276	Rv0369c
Rv0276	Rv0371c
Rv0276	Rv0373c
Rv0276	Rv0377
Rv0276	Rv0380c
Rv0276	Rv0385
Rv0276	Rv0398c
Rv0276	pta
Rv0276	ackA
Rv0276	mutT3
Rv0276	Rv0420c
Rv0276	Rv0421c
Rv0276	thiC
Rv0276	Rv0434
Rv0276	Rv0435c
Rv0276	rskA
Rv0276	sigK
Rv0276	Rv0448c
Rv0276	echA2
Rv0276	Rv0458
Rv0276	Rv0459
Rv0276	Rv0460
Rv0276	Rv0461
Rv0276	Rv0463
Rv0276	Rv0472c
Rv0276	hbhA
Rv0276	Rv0477
Rv0276	Rv0479c
Rv0276	Rv0480c
Rv0276	Rv0484c
Rv0276	senX3
Rv0276	Rv0497
Rv0276	hemC
Rv0276	Rv0516c
Rv0276	Rv0525
Rv0276	Rv0535
Rv0276	Rv0541c
Rv0276	fadD8
Rv0276	mgtA
Rv0276	grcC1
Rv0276	htpX
Rv0276	Rv0566c
Rv0276	cyp135B1
Rv0276	Rv0575c
Rv0276	Rv0576
Rv0276	Rv0580c
Rv0276	lpqN
Rv0276	mce2C
Rv0276	mce2D
Rv0276	Rv0600c
Rv0276	galK
Rv0276	echA3
Rv0276	nusG
Rv0276	Rv0658c
Rv0276	rpoB
Rv0276	Rv0669c
Rv0276	lpqP
Rv0276	echA4
Rv0276	Rv0686
Rv0276	Rv0695
Rv0276	Rv0697
Rv0276	atsA
Rv0276	Rv0712
Rv0276	Rv0713
Rv0276	Rv0725c
Rv0276	Rv0726c
Rv0276	fucA
Rv0276	Rv0731c
Rv0276	Rv0738
Rv0276	mmsB
Rv0276	Rv0756c
Rv0276	Rv0791c
Rv0276	Rv0825c
Rv0276	kmtR
Rv0276	Rv0830
Rv0276	moaE2
Rv0276	Rv0877
Rv0276	Rv0893c
Rv0276	Rv0909
Rv0276	Rv0958
Rv0276	Rv0965c
Rv0276	accA2
Rv0276	grcC2
Rv0281	eccA3
Rv0281	eccC3
Rv0281	esxG
Rv0281	eccD3
Rv0281	Rv0293c
Rv0281	tam
Rv0281	Rv0308
Rv0281	Rv0310c
Rv0281	Rv0314c
Rv0281	cyp135A1
Rv0281	Rv0333
Rv0281	Rv0340
Rv0281	Rv0369c
Rv0281	Rv0371c
Rv0281	Rv0373c
Rv0281	Rv0377
Rv0281	Rv0380c
Rv0281	Rv0385
Rv0281	Rv0398c
Rv0281	pta
Rv0281	ackA
Rv0281	mutT3
Rv0281	Rv0420c
Rv0281	Rv0421c
Rv0281	thiC
Rv0281	Rv0434
Rv0281	Rv0435c
Rv0281	rskA
Rv0281	sigK
Rv0281	Rv0448c
Rv0281	echA2
Rv0281	Rv0458
Rv0281	Rv0459
Rv0281	Rv0460
Rv0281	Rv0461
Rv0281	Rv0463
Rv0281	Rv0472c
Rv0281	hbhA
Rv0281	Rv0477
Rv0281	Rv0479c
Rv0281	Rv0480c
Rv0281	Rv0484c
Rv0281	senX3
Rv0281	Rv0497
Rv0281	hemC
Rv0281	Rv0516c
Rv0281	Rv0525
Rv0281	Rv0535
Rv0281	Rv0541c
Rv0281	fadD8
Rv0281	mgtA
Rv0281	grcC1
Rv0281	htpX
Rv0281	Rv0566c
Rv0281	cyp135B1
Rv0281	Rv0575c
Rv0281	Rv0576
Rv0281	Rv0580c
Rv0281	lpqN
Rv0281	mce2C
Rv0281	mce2D
Rv0281	Rv0600c
Rv0281	galK
Rv0281	echA3
Rv0281	nusG
Rv0281	Rv0658c
Rv0281	rpoB
Rv0281	Rv0669c
Rv0281	lpqP
Rv0281	echA4
Rv0281	Rv0686
Rv0281	Rv0695
Rv0281	Rv0697
Rv0281	atsA
Rv0281	Rv0712
Rv0281	Rv0713
Rv0281	Rv0725c
Rv0281	Rv0726c
Rv0281	fucA
Rv0281	Rv0731c
Rv0281	Rv0738
Rv0281	mmsB
Rv0281	Rv0756c
Rv0281	Rv0791c
Rv0281	Rv0825c
Rv0281	kmtR
Rv0281	Rv0830
Rv0281	moaE2
Rv0281	Rv0877
Rv0281	Rv0893c
Rv0281	Rv0909
Rv0281	Rv0958
Rv0281	Rv0965c
Rv0281	accA2
Rv0281	grcC2
eccA3	eccC3
eccA3	esxG
eccA3	eccD3
eccA3	Rv0293c
eccA3	tam
eccA3	Rv0308
eccA3	Rv0310c
eccA3	Rv0314c
eccA3	cyp135A1
eccA3	Rv0333
eccA3	Rv0340
eccA3	Rv0369c
eccA3	Rv0371c
eccA3	Rv0373c
eccA3	Rv0377
eccA3	Rv0380c
eccA3	Rv0385
eccA3	Rv0398c
eccA3	pta
eccA3	ackA
eccA3	mutT3
